sha,author,message
a09aae0c76041f4f7ee4d37e4ad4ed473d3c7783,JoaoFelipe,#50: cache activation graphs
7a291ac8ca6d983f4622f0f272d1f6d5af0d3181,JoaoFelipe,#49: Refactoring diff graph and creating a function to calculate the similarity of a mapping
4bdffb70e5336cf1cfdbf7983f161fd7fb4dbdb6,JoaoFelipe,#50: refactoring trial graph generation
e21e1f140fd8ee8fab0256fd16dc1cb6705fa55c,JoaoFelipe,Changing graph
6322525f67d4066eccd6b8acc5ed20117384490a,JoaoFelipe,Fix diff color
5e382c3869dd21a78775172751ab8448bf8ed75f,JoaoFelipe,#48: fix definition provenance collection. Using variables to load definition provenance during execution instead of loading from DB
97005bf9eec1e4f3181c7686a00c1ff39f183637,JoaoFelipe,Fix restore and export
ec04a35a8453190ea86331e54132799fdedc2d28,JoaoFelipe,#47: fix __ini__. IPython is not required to run noWorkflow
9581b46e158eb827b10ee5a34e03321f844b91ad,JoaoFelipe,Fix Python 3. Release 0.9.2
a0389e8267c3034203a05af6e03b122e0e771bf9,JoaoFelipe,"Python 3, docstring, tests"
0a40f05991be88650d64a1067e6eb743d73b83df,JoaoFelipe,Analytics and fixing python 3
2bdae510c86c7c58b5f98a0892a17ae876d1f07b,JoaoFelipe,"#46: expand variables for queries, fix tests"
72b571869b83c1793f687eeae691deff362f8ba9,JoaoFelipe,#46: formatters and line magic now_ls_magic
a377ddc1ee664b03d93f5904bb73a9208daef885,JoaoFelipe,#46: now_restore line magic
10197f4f67fa3ae6e985046b0ae51e3b1d4dcca2,JoaoFelipe,"#46: creating now_set_default line magic, now_sql cell magic, now_prolog cell magic. Refactoring ipython module"
70af6de023a4bea0fc13db841ad8bdd33862862e,JoaoFelipe,#46: js lint
091f163de3f89575d94d83381de3d1430f966b47,JoaoFelipe,"#46: model superclass, default parameters for models, unubtrusive javascript"
ad84317435677094cbaf6279bd23287eb5b33dbb,JoaoFelipe,#46: Readme
674799d0bd5e00e9237753a73987e3cd4faeea09,JoaoFelipe,#46: %now and %nowip magics. Fix on the graphs to use _repr_html_ instead of display
7653b9b4b352bfef381b36fc92ef02ddf46c99ec,JoaoFelipe,#46: ipython magic similar to %%script
fcc8ec9d6aad663b5c4ad5623e7475a237bd44f1,JoaoFelipe,#44: parameter --dir to select directory
f1b8aaa28610dc5f957966574abfd301355541ee,JoaoFelipe,#45: Rename checkout command and files to restore
4a1547793b2bd6b680d326745cc827e4f54e9f67,JoaoFelipe,Change sequence arrow color to blue
ea438ca899e09c82b102847ace5ce0662c64dc79,JoaoFelipe,Fix return and non assignment dependencies
bf8190f9699238c956bea613a629a0b171be7edc,JoaoFelipe,"Fixes #43 and many other syntax issues:
- Use pyposast to get ast node position
- Create definition object to use instead of the  visitor.
- Sort disasm lines to match global call_function list
- Support call_function from decorators, generators and asserts"
0ed57a3f86233982c11a53d5a413d4a6051d4dea,JoaoFelipe,Release version 0.7.0
1258d77cffac0d4866a4f10285da16b07dba8e48,JoaoFelipe,Fix function line extraction
24ca6ce2455b4a0010767123e4d55dea7500a274,JoaoFelipe,#40: export diff
be46f7c57de2dbeaa8d86e5edee15b9fcb52e43e,JoaoFelipe,#41: fix syntax error on python 2.x
58303c89ca1710b8c13dc4f6f57a8c4f6670bb95,JoaoFelipe,#40 : diff graph
3ca6358ce045d495c8e2c383b8374b424eb19861,JoaoFelipe,#40: update prolog rules to include trial_id
1216c0f436085322762bb9c450f6355dc0ae8207,JoaoFelipe,#40: export ipython notebook files
4eac2efe5cf54be39462c45cc6c731439f5d3df8,JoaoFelipe,#40: update readme to include a link to a newer version of pyswip
42ed6117fd2f1f4cd42209efbc2643043b56ceae,JoaoFelipe,#40: trying to add prolog support
52d135d3ee40664d7a23c42bf9027cf2e189cdb2,JoaoFelipe,#40: docstring for trial. set graph size. more information on history tooltip
6f816f6423ec395e6b64a8bb260678d44cf88fdb,JoaoFelipe,#40: load history graph on ipython
9a25a1dc2327a8121616d97f95823d90d0e28a3c,JoaoFelipe,#40: tooltips for trial graphs on ipython notebook and loading graphs without having to share static js and css files
01f171967effc03432b49bf1128964fa115783ca,JoaoFelipe,#40: Load trial graph on ipython notebook
4ee7ebe9350b79993b7eb05388beb10ec16c36b4,JoaoFelipe,#26: bdist. any python version distribution
285784ef77cfe263e3bbdbee4ab8340f8b6c11de,JoaoFelipe,"#26: python3 support, pep8 formatting, copyright messages, test and installation fixes. 0.6.0 release."
7f44396770bfe74fabab80b9f0ad699d661a055a,JoaoFelipe,#24: lcs diff over graph instead of activation tree structure
d7f4ea823001d7f7f8ae96331b0b149c259e8284,JoaoFelipe,Just combined graph for diff. fix file access diff
601152c82690f87ff8acba5967ad14ca7aef91c7,JoaoFelipe,fix graph duration and colors
9849bb9a8b982e487d69c5d890142f11e3e5c118,JoaoFelipe,"fix setup, match features described in paper"
9e60e9857b541943479082958a69c1cbbc16e92f,JoaoFelipe,#24: graph diff combined
37b67c4c3a71df1b6ba4eaa85bd109486d06d896,JoaoFelipe,#24: graph diffs (exact match for now)
8cf8c539bf8120cb9fa46abcbc5046609c2231b2,JoaoFelipe,closes #34: restore local modules
732f0bcf09a55a6bf194022e5c6157a304dac8c2,JoaoFelipe,Refactoring persistence and vis models.
059fb3d27c2cecc01aaf3427c53a742e244fed53,JoaoFelipe,#21: fixing history graph
e5d26d2e8debe26a4d40672404ff8eb5d9f1d4c0,JoaoFelipe,#34: extracting load modules to persistence module in order to use it in checkout
e4092c2112834157f9eb258a18ad1c6f97ce6dc2,JoaoFelipe,#21: history tooltip and status
e2d8cd3ca9bd525238c8197d4867f4bab8ec6980,JoaoFelipe,#21: refactoring trial graph to use javascript object. Adding restore zoom history graph
fe0cbb4987a3c14507cfaa0ac380385cf5618a29,JoaoFelipe,#21: creating now vis command and improving history graph to support multiple parents
c6de0f7b7bba1e14d64d039268ae60713aeb390f,JoaoFelipe,#34: store parent version by script name
8ae8be0c73a7a123e997434e7d6b2b9aedb78160,JoaoFelipe,closes #19: releasing version 0.5.0 with program slicing
416e0aa032c6e62cb5418da0e4c6db346b073c65,JoaoFelipe,#19: prolog rules for slicing
684e706ffcb3e686b27a3479ee6824b99dd3726a,JoaoFelipe,#19: export slicing to prolog
1a170291488f22afd80d02caf6101364c72d1247,JoaoFelipe,#19: fixing some capture issues and trying to improve speed
548c5a607a1c287659dc58da1983d1fc2007a149,JoaoFelipe,#19: store value and time
fc2882b0b55043c756ab57543bd30fd6f244387a,JoaoFelipe,#19: Storing slicing
f661649d8df94c2474ebe0727179449b4e9c557d,JoaoFelipe,#19: capture usages
c3657e89f3382897bba3f0350ad9f54214ac1909,JoaoFelipe,#19: capture inter dependencies between params
e45b64ccf422711c317175b870fd128e22e056d5,JoaoFelipe,#19: fixing capture for functions without return
da40f5c4e89c73f89db3da8d400b2e7caa1b27df,JoaoFelipe,#19: capturing ccall dependencies
053e8c8a473cd5cccabf381442d761f92b5868e1,JoaoFelipe,Extracting now and cmd package in order to fix relative import issues
0e51061b4f9fc4e9ce9d7a36b06721ad3024ca49,JoaoFelipe,#24: show file accesses
849667e8ff8b06dc115d90555abe3274c2a5b731,JoaoFelipe,#24: filter trials
c68f2fe20b1a4fdf347095b6f520d4baa143abd4,JoaoFelipe,Fixed relative imports and setup
8d9d39a039ad427788ece382cc907aa81288ec36,JoaoFelipe,Merge branch 'cm'
ddd50e7f5c2fa2627c292b36d9ced51fc5def67e,JoaoFelipe,#24: enviroment and modules information
e8701c5d2813b6304b3620d9eb371d35bf117569,JoaoFelipe,#19: test directory
773ea4182657fa7ff198a5a117d10d01c6558704,JoaoFelipe,#19: fix tracer close activation
953a592aae24fca45179d9518c1892cd176b5cd4,JoaoFelipe,#19: fix dis issues
138174c8b83fed330a2c378bb0ecc92e5cf1c66c,JoaoFelipe,#34: restore trial script
bd45331af4e04cd6298a1dd8c61651702b1db821,JoaoFelipe,#19: Matching function params
a8c8b30b8068b15aaa0fef814e13e48f7f5b2e05,JoaoFelipe,#19: refactoring tracer
9694a767a09601641b1116556882bf43f9bc913c,JoaoFelipe,#19: argument to show disasm and help debugging
3c72a045f7690fe4a9d05ebbebf62bfbd5f83c79,JoaoFelipe,#19: extracting prov_execution module
da0355c6b38e99e254bd8d7ce7b51c51f5f361d1,JoaoFelipe,#19: matching calls by f_lasti
e390303375d1f96734e8bea9ebbb72fc1d88f3be,JoaoFelipe,#19: extracting prov_definition module. Using dis to collect frame.f_lasti
0d64b83071f57c2ba2b049d53c736e777c56f10a,JoaoFelipe,#19: extracting prov_definition module
15848c2963a18b4a29481ca1c19de07a7587d8b1,JoaoFelipe,#19: fix assignment lineno
18477c6ce277a897e8a29ba6eed9839a1a02f56f,JoaoFelipe,#19: capture return variable
7ae13e9b8f93fe1227b9bc10c871edae8d5e0b53,JoaoFelipe,#19: using both settrace and setprofile
027879c82e30540f08ffe6aa46dce9feb3b9cb41,JoaoFelipe,#19: Capturing function calls
16f70b1e1c862ccfd11d5a0acb2ebe3d5b90254e,JoaoFelipe,#19: Starting to integrate prov definition with prog execution in order to perform the slicing
a935468d0cb90a556c0821e782a39e80f656f699,JoaoFelipe,#19: Extracting Activation slot class. It is supposed to be faster than dict
f62ea1c460f7ae2387706cb825631d54564df8d5,JoaoFelipe,#19: Fix print message
dd11c490b8b2857c72f4f0b39c14757630c8dcbf,JoaoFelipe,#19: Control flow dependencies
b0b90773fd16049ae435b3272404474247b9fa2d,JoaoFelipe,#19: improving assignment left side capture
b302866380c35f6f6d4e8b09df2aa1bbefcbb413,JoaoFelipe,#19: capturing complex assignments
258568c33515e8c11466271113dff79cb63e7993,JoaoFelipe,#19: playing with tracer and ast
3d0392a835f1b02ae01035d3cdb18d0d7e32f4a0,JoaoFelipe,Version 0.4.0 release
92c8d53ce55791ab9963341eb6d5dcd6fcc87249,JoaoFelipe,#24: tooltips
fb2b6c7d293558bc565931685b1de621a7ab810f,JoaoFelipe,#32: fixing function args capture
ccd56fa8022c8d0070582b5c8608371ccda0e2aa,JoaoFelipe,#31: select between combined graph and exact match graph
4c91dbc704f3dacc26fa271afba1a89b109d610a,JoaoFelipe,Merge branch 'cm'
ae91d45398e2c1bed7dc75d5eb92eb7042a8f334,JoaoFelipe,Version 0.3.2
a6076b1044d49bf711a036e8807f141a0eb2c8c6,JoaoFelipe,#30: function activation id sorted by activation order
