author,total,Start of the Week,Deletions,Additions,Commits
braganholo,35,2015-12-05 22:00:00,0,0,0
braganholo,35,2015-12-12 22:00:00,0,0,0
braganholo,35,2015-12-19 22:00:00,0,0,0
braganholo,35,2015-12-26 22:00:00,0,0,0
braganholo,35,2016-01-02 22:00:00,0,0,0
braganholo,35,2016-01-09 22:00:00,0,0,0
braganholo,35,2016-01-16 22:00:00,1,1,1
braganholo,35,2016-01-23 22:00:00,0,0,0
braganholo,35,2016-01-30 22:00:00,0,0,0
braganholo,35,2016-02-06 22:00:00,0,0,0
braganholo,35,2016-02-13 22:00:00,0,0,0
braganholo,35,2016-02-20 22:00:00,0,0,0
braganholo,35,2016-02-27 21:00:00,0,0,0
braganholo,35,2016-03-05 21:00:00,0,0,0
braganholo,35,2016-03-12 21:00:00,0,0,0
braganholo,35,2016-03-19 21:00:00,0,0,0
braganholo,35,2016-03-26 21:00:00,0,0,0
leomurta,80,2013-08-31 21:00:00,7,114,2
leomurta,80,2013-09-07 21:00:00,1346,3509,10
leomurta,80,2013-09-14 21:00:00,2287,5303,5
leomurta,80,2013-09-21 21:00:00,8891,8516,6
leomurta,80,2013-09-28 21:00:00,0,0,0
leomurta,80,2013-10-05 21:00:00,51,158,2
leomurta,80,2013-10-12 21:00:00,0,0,0
leomurta,80,2013-10-19 21:00:00,43,99,1
leomurta,80,2013-10-26 22:00:00,207,253,6
leomurta,80,2013-11-02 22:00:00,0,0,0
leomurta,80,2013-11-09 22:00:00,0,0,0
leomurta,80,2013-11-16 22:00:00,318,458,3
leomurta,80,2013-11-23 22:00:00,22756,23492,12
leomurta,80,2013-11-30 22:00:00,0,0,0
leomurta,80,2013-12-07 22:00:00,0,0,0
leomurta,80,2013-12-14 22:00:00,0,0,0
leomurta,80,2013-12-21 22:00:00,0,0,0
leomurta,80,2013-12-28 22:00:00,0,0,0
leomurta,80,2014-01-04 22:00:00,0,0,0
leomurta,80,2014-01-11 22:00:00,0,0,0
leomurta,80,2014-01-18 22:00:00,0,0,0
leomurta,80,2014-01-25 22:00:00,0,0,0
leomurta,80,2014-02-01 22:00:00,0,0,0
leomurta,80,2014-02-08 22:00:00,0,0,0
leomurta,80,2014-02-15 22:00:00,0,0,0
leomurta,80,2014-02-22 21:00:00,0,0,0
